"filename", "language", "C#", "JSON", "Properties", "XML", "comment", "blank", "total"
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\AbstractSyntaxTree.cs", "C#", 158, 0, 0, 0, 5, 16, 179
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\AidScript.csproj", "XML", 0, 0, 0, 8, 0, 3, 11
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Executor.cs", "C#", 152, 0, 0, 0, 6, 12, 170
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\FileReader.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Heap.cs", "C#", 41, 0, 0, 0, 0, 8, 49
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Interpreter.cs", "C#", 13, 0, 0, 0, 1, 2, 16
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Lexer.cs", "C#", 160, 0, 0, 0, 1, 18, 179
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Parser.cs", "C#", 229, 0, 0, 0, 14, 31, 274
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Program.cs", "C#", 26, 0, 0, 0, 6, 4, 36
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Token.cs", "C#", 25, 0, 0, 0, 2, 5, 32
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\bin\Debug\net8.0\AidScript.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\bin\Debug\net8.0\AidScript.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\AidScript.csproj.nuget.dgspec.json", "JSON", 0, 69, 0, 0, 0, 0, 69
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\AidScript.csproj.nuget.g.props", "XML", 0, 0, 0, 15, 0, 0, 15
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\AidScript.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 2
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 13, 0, 0, 1, 14
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\project.assets.json", "JSON", 0, 74, 0, 0, 0, 0, 74
"Total", "-", 831, 179, 13, 25, 46, 109, 1203